filename,source_video,frame_ts,scene,action_label,source_dataset,low_res,train_val
livingroom_fall_243_20260827_t7.1.jpg,videos/livingroom/fall/livingroom_fall_243_20260827.mp4,7.06,livingroom,lying,CAUCAFall,false,val
livingroom_fall_243_20260827_t8.0.jpg,videos/livingroom/fall/livingroom_fall_243_20260827.mp4,8.02,livingroom,lying,CAUCAFall,false,val
livingroom_fall_243_20260827_t9.0.jpg,videos/livingroom/fall/livingroom_fall_243_20260827.mp4,8.99,livingroom,lying,CAUCAFall,false,val
livingroom_fall_243_20260827_t2.4.jpg,videos/livingroom/fall/livingroom_fall_243_20260827.mp4,2.40,livingroom,transition,CAUCAFall,false,val
livingroom_fall_241_20260827_t5.0.jpg,videos/livingroom/fall/livingroom_fall_241_20260827.mp4,4.95,livingroom,lying,CAUCAFall,false,train
livingroom_fall_241_20260827_t5.6.jpg,videos/livingroom/fall/livingroom_fall_241_20260827.mp4,5.62,livingroom,lying,CAUCAFall,false,train
livingroom_fall_241_20260827_t6.3.jpg,videos/livingroom/fall/livingroom_fall_241_20260827.mp4,6.30,livingroom,lying,CAUCAFall,false,train
livingroom_fall_241_20260827_t2.4.jpg,videos/livingroom/fall/livingroom_fall_241_20260827.mp4,2.35,livingroom,transition,CAUCAFall,false,train
livingroom_fall_237_20260827_t6.7.jpg,videos/livingroom/fall/livingroom_fall_237_20260827.mp4,6.67,livingroom,lying,CAUCAFall,false,train
livingroom_fall_237_20260827_t7.6.jpg,videos/livingroom/fall/livingroom_fall_237_20260827.mp4,7.57,livingroom,lying,CAUCAFall,false,train
livingroom_fall_237_20260827_t8.5.jpg,videos/livingroom/fall/livingroom_fall_237_20260827.mp4,8.48,livingroom,lying,CAUCAFall,false,train
livingroom_fall_237_20260827_t2.5.jpg,videos/livingroom/fall/livingroom_fall_237_20260827.mp4,2.55,livingroom,transition,CAUCAFall,false,train
livingroom_fall_229_20260827_t3.5.jpg,videos/livingroom/fall/livingroom_fall_229_20260827.mp4,3.50,livingroom,lying,CAUCAFall,false,val
livingroom_fall_229_20260827_t4.0.jpg,videos/livingroom/fall/livingroom_fall_229_20260827.mp4,3.97,livingroom,lying,CAUCAFall,false,val
livingroom_fall_229_20260827_t4.5.jpg,videos/livingroom/fall/livingroom_fall_229_20260827.mp4,4.45,livingroom,lying,CAUCAFall,false,val
livingroom_fall_229_20260827_t1.2.jpg,videos/livingroom/fall/livingroom_fall_229_20260827.mp4,1.20,livingroom,transition,CAUCAFall,false,val
livingroom_fall_222_20260827_t6.0.jpg,videos/livingroom/fall/livingroom_fall_222_20260827.mp4,6.01,livingroom,lying,CAUCAFall,false,train
livingroom_fall_222_20260827_t6.8.jpg,videos/livingroom/fall/livingroom_fall_222_20260827.mp4,6.82,livingroom,lying,CAUCAFall,false,train
livingroom_fall_222_20260827_t7.6.jpg,videos/livingroom/fall/livingroom_fall_222_20260827.mp4,7.64,livingroom,lying,CAUCAFall,false,train
livingroom_fall_222_20260827_t4.9.jpg,videos/livingroom/fall/livingroom_fall_222_20260827.mp4,4.90,livingroom,transition,CAUCAFall,false,train
livingroom_fall_263_20260827_t8.3.jpg,videos/livingroom/fall/livingroom_fall_263_20260827.mp4,8.32,livingroom,lying,CAUCAFall,false,train
livingroom_fall_263_20260827_t9.4.jpg,videos/livingroom/fall/livingroom_fall_263_20260827.mp4,9.45,livingroom,lying,CAUCAFall,false,train
livingroom_fall_263_20260827_t10.6.jpg,videos/livingroom/fall/livingroom_fall_263_20260827.mp4,10.58,livingroom,lying,CAUCAFall,false,train
livingroom_fall_263_20260827_t3.2.jpg,videos/livingroom/fall/livingroom_fall_263_20260827.mp4,3.25,livingroom,transition,CAUCAFall,false,train
livingroom_fall_244_20260827_t6.6.jpg,videos/livingroom/fall/livingroom_fall_244_20260827.mp4,6.60,livingroom,lying,CAUCAFall,false,train
livingroom_fall_244_20260827_t7.5.jpg,videos/livingroom/fall/livingroom_fall_244_20260827.mp4,7.50,livingroom,lying,CAUCAFall,false,train
